Date,station_id,name,Satellite,Blue,Green,Red,NIR,SWIR1,SWIR2,RedEdge1,RedEdge2,RedEdge3,station_name
2019-06-13,5344500,Prescott,Landsat-8,0.08677,0.1355275,0.1568399999999999,0.25452,0.265025,0.2211624999999999,,,,prescott
2019-06-14,5331580,Hastings,Sentinel-2,0.1792,0.1656,0.1298,0.3744,0.2317,0.1351,0.1675,0.3229,0.3876,hastings
2019-06-14,5331000,St_Paul,Sentinel-2,0.1278,0.1334,0.145,0.2408,0.222,0.1712,0.1817,0.2557,0.2767,stpaul
2019-06-14,5288500,Brooklyn_Park,Sentinel-2,0.0432,0.0577,0.0302,0.4184,0.1883,0.0912,0.0945,0.366,0.468,brooklynpark
2019-06-16,5288500,Brooklyn_Park,Sentinel-2,0.0317,0.0544,0.0343,0.37,0.1788,0.0898,0.0973,0.3292,0.4169,brooklynpark
2019-06-16,5331000,St_Paul,Sentinel-2,0.1254,0.1362,0.1346,0.246,0.2051,0.166,0.1597,0.2382,0.2653,stpaul
2019-06-16,5288500,Brooklyn_Park,Sentinel-2,0.0279,0.0519,0.0318,0.3752,0.1797,0.0898,0.0961,0.3341,0.4237,brooklynpark
2019-06-29,5331580,Hastings,Landsat-8,0.0346849999999999,0.0684549999999999,0.0565474999999999,0.335865,0.16388,0.095955,,,,hastings
2019-06-29,5331000,St_Paul,Landsat-8,0.0512124999999999,0.0781075,0.072745,0.27388,0.1665475,0.1097874999999999,,,,stpaul
2019-06-29,5288500,Brooklyn_Park,Landsat-8,0.042055,0.0721125,0.0600399999999999,0.33603,0.1658325,0.096175,,,,brooklynpark
2019-06-29,5344500,Prescott,Landsat-8,0.0832775,0.1242524999999999,0.1355275,0.27575,0.2354625,0.1708374999999999,,,,prescott
2019-07-06,5288500,Brooklyn_Park,Sentinel-2,0.5988,0.6104,0.6092,0.6872,0.6762,0.5755,0.6643,0.6939,0.7047,brooklynpark
2019-07-06,5331000,St_Paul,Sentinel-2,0.0916,0.1016,0.1092,0.2092,0.2052,0.1426,0.1623,0.2404,0.252,stpaul
2019-07-06,5288500,Brooklyn_Park,Sentinel-2,0.6392,0.6444,0.638,0.71,0.6862,0.5839,0.6949,0.7189,0.7265,brooklynpark
2019-07-06,5378500,Winona,Sentinel-2,0.049,0.0646,0.0606,0.2653,0.1923,0.1298,0.0932,0.2128,0.253,winona
2019-07-06,5378500,Winona,Sentinel-2,0.0512,0.0675,0.0629,0.2634,0.191,0.1293,0.0945,0.2116,0.2515,winona
2019-07-08,5331580,Hastings,Landsat-8,0.0278374999999999,0.0473899999999999,0.033805,0.352035,0.1620375,0.07599,,,,hastings
2019-07-08,5344500,Prescott,Landsat-8,0.0631475,0.1334375,0.1505425,0.2937075,0.251825,0.187365,,,,prescott
